trial_id,lr,l2_lambda,best_val_one_shot_acc,test_accuracy,epochs_trained,stop_reason,total_time,model_params
0,0.00754521,0.05669850,0.793750,0.785000,222,早停：连续40轮未提升（最优 epoch 182，准确率 0.7937）,12476.7,38959937
1,0.01117429,0.00098467,0.840625,0.865000,177,早停：连续40轮未提升（最优 epoch 137，准确率 0.8406）,10227.6,38959937
2,0.00593485,0.00000603,0.778125,0.790000,133,早停：连续40轮未提升（最优 epoch 93，准确率 0.7781）,7620.1,38959937
3,0.00532946,0.02142302,0.759375,0.787500,118,早停：连续40轮未提升（最优 epoch 78，准确率 0.7594）,6574.4,38959937
4,0.00967776,0.00347027,0.825000,0.832500,177,早停：连续40轮未提升（最优 epoch 137，准确率 0.8250）,10193.2,38959937
5,0.00511436,0.07072114,0.746875,0.797500,121,早停：连续40轮未提升（最优 epoch 81，准确率 0.7469）,6972.4,38959937
6,0.01247803,0.00001153,0.840625,0.847500,155,早停：连续40轮未提升（最优 epoch 115，准确率 0.8406）,8891.0,38959937
7,0.00610552,0.00000826,0.818750,0.795000,208,早停：连续40轮未提升（最优 epoch 168，准确率 0.8187）,12118.7,38959937
8,0.00698442,0.00042052,0.781250,0.812500,181,早停：连续40轮未提升（最优 epoch 141，准确率 0.7812）,10584.7,38959937
9,0.00803637,0.00002859,0.828125,0.845000,177,早停：连续40轮未提升（最优 epoch 137，准确率 0.8281）,10373.9,38959937
